PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
335,0,0,0,14.6871376037598,20.2823543548584,7,0,0,0
336,0,0,0,14.6871376037598,20.2823543548584,7,0,0,0
337,0,0,7.45785655453801E-11,15.2555599212646,26.0156154632568,7,0,0,0
338,0,0,7.45785655453801E-11,15.2555599212646,26.0156154632568,7,0,0,0
339,0,0,-1.81898940354586E-12,15.7339668273926,31.9189910888672,7,0,0,0
340,0,0,-1.81898940354586E-12,15.7339668273926,31.9189910888672,7,0,0,0
341,0,0,-7.45785655453801E-11,15.9012813568115,37.9925003051758,7,0,0,0
342,0,0,-7.45785655453801E-11,15.9012813568115,37.9925003051758,7,0,0,0
343,0,0,0,15.9489498138428,44.2361221313477,7,0,0,0
344,0,0,0,15.9489498138428,44.2361221313477,7,0,0,0
345,0,0,0,15.6871128082275,50.6498794555664,7,0,0,0
346,0,0,0,15.6871128082275,50.6498794555664,7,0,0,0
347,0,0,0,15.1933841705322,57.2337493896484,7,0,0,0
348,0,0,0,15.1933841705322,57.2337493896484,7,0,0,0
349,0,0,0,14.6883945465088,63.9877471923828,7,0,0,0
