PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
273,0,0,-1.41387863550335E-06,-18.6501846313477,-54.3400955200195,7,0,0,0
274,0,0,-2.06487266041222E-06,-19.4077968597412,-54.9916763305664,7,0,0,0
275,0,0,-2.76141622634896E-06,-20.1477756500244,-55.664306640625,7,0,0,0
276,0,0,-3.45796001965937E-06,-20.8877544403076,-56.3369369506836,7,0,0,0
277,0,0,-4.12034796681837E-06,-21.663179397583,-56.9649314880371,7,0,0,0
278,0,0,-4.73709042125847E-06,-22.4859714508057,-57.5332717895508,7,0,0,0
279,0,0,-5.35383242095122E-06,-23.3087635040283,-58.1016159057617,7,0,0,0
280,0,0,-5.97185862716287E-06,-24.1298904418945,-58.6723403930664,7,0,0,0
281,0,0,-6.59383840684313E-06,-24.9458808898926,-59.2504081726074,7,0,0,0
282,0,0,-7.21581909601809E-06,-25.7618713378906,-59.8284721374512,7,0,0,0
283,0,0,-7.84819803811843E-06,-26.5866012573242,-60.3932685852051,7,0,0,0
284,0,0,-8.51462209539022E-06,-27.4399490356445,-60.9146118164063,7,0,0,0
285,0,0,-9.18104706215672E-06,-28.2932968139648,-61.4359550476074,7,0,0,0
286,0,0,-9.86673876468558E-06,-29.1369075775146,-61.9728355407715,7,0,0,0
287,0,0,-1.05570325104054E-05,-29.9781932830811,-62.513427734375,7,0,0,0
288,0,0,-1.12614679892431E-05,-30.8213043212891,-63.0511283874512,7,0,0,0
289,0,0,-1.20166123451781E-05,-31.6709671020508,-63.5784568786621,7,0,0,0
290,0,0,-1.27717576106079E-05,-32.5206298828125,-64.1057815551758,7,0,0,0
291,0,0,-1.28461251733825E-05,-32.604305267334,-64.15771484375,7,0,0,0
292,0,0,0,-33.6723747253418,-62.8080253601074,7,0,0,0
293,0,0,0,-30.1536674499512,-60.8174629211426,7,0,0,0
294,0,0,0,-30.1536674499512,-60.8174629211426,7,0,0,0
295,0,0,0,-26.6976432800293,-58.656810760498,7,0,0,0
296,0,0,0,-26.6976432800293,-58.656810760498,7,0,0,0
297,0,0,1.81898940354586E-12,-23.2730770111084,-56.3260345458984,7,0,0,0
298,0,0,1.81898940354586E-12,-23.2730770111084,-56.3260345458984,7,0,0,0
299,0,0,-1.81898940354586E-12,-20.0142498016357,-53.8251342773438,7,0,0,0
300,0,0,-1.81898940354586E-12,-20.0142498016357,-53.8251342773438,7,0,0,0
301,0,0,1.81898940354586E-12,-16.8504047393799,-51.1540756225586,7,0,0,0
302,0,0,1.81898940354586E-12,-16.8504047393799,-51.1540756225586,7,0,0,0
303,0,0,7.27595761418343E-11,-13.7550449371338,-48.3129348754883,7,0,0,0
304,0,0,7.27595761418343E-11,-13.7550449371338,-48.3129348754883,7,0,0,0
305,0,0,1.81898940354586E-12,-10.7867240905762,-45.3016662597656,7,0,0,0
306,0,0,1.81898940354586E-12,-10.7867240905762,-45.3016662597656,7,0,0,0
